date,search_index,brand_ko,brand
2022-05-16,38.07085,이니스프리,innisfree
2022-05-23,34.26753,이니스프리,innisfree
2022-05-30,38.71547,이니스프리,innisfree
2022-06-06,40.33723,이니스프리,innisfree
2022-06-13,34.1806,이니스프리,innisfree
2022-06-20,30.82292,이니스프리,innisfree
2022-06-27,36.53915,이니스프리,innisfree
2022-07-04,39.04694,이니스프리,innisfree
2022-07-11,29.08805,이니스프리,innisfree
2022-07-18,28.69216,이니스프리,innisfree
2022-07-25,29.26976,이니스프리,innisfree
2022-08-01,36.58576,이니스프리,innisfree
2022-08-08,29.30275,이니스프리,innisfree
2022-08-15,42.50307,이니스프리,innisfree
2022-08-22,30.15474,이니스프리,innisfree
2022-08-29,33.73916,이니스프리,innisfree
2022-09-05,27.18718,이니스프리,innisfree
2022-09-12,67.95381,이니스프리,innisfree
2022-09-19,36.77637,이니스프리,innisfree
2022-09-26,29.81698,이니스프리,innisfree
2022-10-03,29.1069,이니스프리,innisfree
2022-10-10,45.512,이니스프리,innisfree
2022-10-17,30.73128,이니스프리,innisfree
2022-10-24,29.36506,이니스프리,innisfree
2022-10-31,30.04215,이니스프리,innisfree
2022-11-07,66.93687,이니스프리,innisfree
2022-11-14,56.43547,이니스프리,innisfree
2022-11-21,37.74147,이니스프리,innisfree
2022-11-28,29.0294,이니스프리,innisfree
2022-12-05,28.47328,이니스프리,innisfree
2022-12-12,50.48045,이니스프리,innisfree
2022-12-19,33.94077,이니스프리,innisfree
2022-12-26,30.20553,이니스프리,innisfree
2023-01-02,32.94949,이니스프리,innisfree
2023-01-09,38.63063,이니스프리,innisfree
2023-01-16,26.64467,이니스프리,innisfree
2023-01-23,30.63388,이니스프리,innisfree
2023-01-30,30.67839,이니스프리,innisfree
2023-02-06,77.56185,이니스프리,innisfree
2023-02-13,29.6028,이니스프리,innisfree
2023-02-20,35.64841,이니스프리,innisfree
2023-02-27,46.77192,이니스프리,innisfree
2023-03-06,35.37873,이니스프리,innisfree
2023-03-13,40.69017,이니스프리,innisfree
